25.27C | CHARGING | Battery Voltage: 9.76V | Node ID: 1
22.83C | CHARGING | Battery Voltage: 9.82V | Node ID: 2
20.87C | CHARGING | Battery Voltage: 9.84V | Node ID: 3
25.27C | SLEEP | Battery Voltage: 8.93V | Node ID: 1
25.27C | SLEEP | Battery Voltage: 8.76V | Node ID: 2
22.83C | SLEEP | Battery Voltage: 8.81V | Node ID: 3
19.89C | CHARGING | Battery Voltage: 9.87V | Node ID: 3
20.38C | CHARGING | Battery Voltage: 9.93V | Node ID: 2
27.22C | CHARGING | Battery Voltage: 9.90V | Node ID: 1
25.27C | CHARGING | Battery Voltage: 9.93V | Node ID: 2
22.83C | CHARGING | Battery Voltage: 9.93V | Node ID: 1
25.27C | CHARGING | Battery Voltage: 10.07V | Node ID: 2
23.31C | CHARGING | Battery Voltage: 9.96V | Node ID: 3
22.34C | CHARGING | Battery Voltage: 9.99V | Node ID: 1
24.78C | CHARGING | Battery Voltage: 10.02V | Node ID: 1
26.25C | CHARGING | Battery Voltage: 10.04V | Node ID: 2
25.76C | CHARGING | Battery Voltage: 10.02V | Node ID: 3
23.80C | CHARGING | Battery Voltage: 10.04V | Node ID: 2
23.80C | CHARGING | Battery Voltage: 10.04V | Node ID: 1
20.87C | CHARGING | Battery Voltage: 9.99V | Node ID: 3
22.83C | CHARGING | Battery Voltage: 9.99V | Node ID: 2
22.83C | CHARGING | Battery Voltage: 9.99V | Node ID: 1
24.78C | CHARGING | Battery Voltage: 10.02V | Node ID: 2
20.87C | CHARGING | Battery Voltage: 10.02V | Node ID: 1
23.31C | CHARGING | Battery Voltage: 10.02V | Node ID: 3
23.31C | CHARGING | Battery Voltage: 10.02V | Node ID: 2
24.78C | CHARGING | Battery Voltage: 10.02V | Node ID: 1
26.25C | CHARGING | Battery Voltage: 10.04V | Node ID: 3
25.76C | CHARGING | Battery Voltage: 10.02V | Node ID: 2
23.80C | CHARGING | Battery Voltage: 10.04V | Node ID: 3
23.80C | CHARGING | Battery Voltage: 10.04V | Node ID: 1
23.80C | CHARGING | Battery Voltage: 10.13V | Node ID: 2
25.76C | CHARGING | Battery Voltage: 10.04V | Node ID: 3
29.67C | SLEEP | Battery Voltage: 9.01V | Node ID: 2
23.31C | CHARGING | Battery Voltage: 10.02V | Node ID: 1
24.78C | CHARGING | Battery Voltage: 10.02V | Node ID: 2
26.25C | CHARGING | Battery Voltage: 10.04V | Node ID: 3
25.76C | CHARGING | Battery Voltage: 10.02V | Node ID: 2
23.80C | CHARGING | Battery Voltage: 10.04V | Node ID: 3
23.80C | CHARGING | Battery Voltage: 10.04V | Node ID: 2
24.78C | CHARGING | Battery Voltage: 9.53V | Node ID: 1
23.80C | CHARGING | Battery Voltage: 9.10V | Node ID: 2
24.78C | SLEEP | Battery Voltage: 8.96V | Node ID: 3
25.27C | SLEEP | Battery Voltage: 8.93V | Node ID: 3 
24.29C | SLEEP | Battery Voltage: 8.93V | Node ID: 1
24.78C | SLEEP | Battery Voltage: 8.90V | Node ID: 2
24.78C | SLEEP | Battery Voltage: 8.90V | Node ID: 3
25.27C | SLEEP | Battery Voltage: 8.76V | Node ID: 2
22.83C | SLEEP | Battery Voltage: 8.81V | Node ID: 1
24.78C | SLEEP | Battery Voltage: 8.79V | Node ID: 3
25.27C | SLEEP | Battery Voltage: 8.81V | Node ID: 2
25.27C | SLEEP | Battery Voltage: 8.79V | Node ID: 1
25.27C | SLEEP | Battery Voltage: 8.79V | Node ID: 3
23.80C | SLEEP | Battery Voltage: 8.79V | Node ID: 2
24.78C | SLEEP | Battery Voltage: 8.76V | Node ID: 3
25.27C | SLEEP | Battery Voltage: 8.76V | Node ID: 2
25.27C | SLEEP | Battery Voltage: 8.76V | Node ID: 1
23.31C | SLEEP | Battery Voltage: 8.76V | Node ID: 1
24.29C | SLEEP | Battery Voltage: 8.73V | Node ID: 2
